[run number],minimum-sugar-endowment,initial-population,[step],gini-index-reserve
5,6,300,21,56.67704011
9,8,200,21,38.96602889
4,6,200,31,38.88282139
10,8,200,34,36.8353864
3,6,200,26,42.2898598
5,6,300,22,56.89247599
4,6,200,32,39.13587258
9,8,200,22,39.03184295
6,6,300,23,55.56996292
10,8,200,35,36.710199
3,6,200,27,42.31705011
4,6,200,33,39.40560949
10,8,200,36,36.70577538
5,6,300,23,56.71360597
9,8,200,23,39.446098
3,6,200,28,42.26203534
6,6,300,24,55.97662322
1,6,100,5,16.6133829
4,6,200,34,39.47216752
10,8,200,37,36.51084156
3,6,200,29,41.87669217
9,8,200,24,39.69244288
5,6,300,24,56.34762377
6,6,300,25,56.25298067
4,6,200,35,39.45221669
10,8,200,38,36.55590452
3,6,200,30,42.20054317
9,8,200,25,39.63242784
4,6,200,36,39.71433915
10,8,200,39,36.6091039
6,6,300,26,55.9369682
5,6,300,25,56.62910206
3,6,200,31,42.37435791
9,8,200,26,39.80962549
4,6,200,37,39.95320677
10,8,200,40,36.68160072
6,6,300,27,55.99121094
3,6,200,32,42.20149254
5,6,300,26,56.96611551
10,8,200,41,36.61138156
9,8,200,27,39.68360552
4,6,200,38,39.68237802
10,8,200,42,36.61165049
3,6,200,33,42.20077094
6,6,300,28,56.45295855
9,8,200,28,39.58751727
5,6,300,27,57.65959253
4,6,200,39,39.70749046
10,8,200,43,36.59485246
3,6,200,34,41.92271574
4,6,200,40,39.85146727
9,8,200,29,39.80997465
6,6,300,29,56.51997541
5,6,300,28,58.09467781
3,6,200,35,41.84062268
10,8,200,44,36.59335155
4,6,200,41,39.95099338
9,8,200,30,39.87628344
10,8,200,45,36.58398716
4,6,200,42,40.08535004
6,6,300,30,56.41474333
5,6,300,29,58.22150411
3,6,200,36,41.93203181
9,8,200,31,39.61300699
10,8,200,46,36.57182176
1,6,100,6,17.56718346
4,6,200,43,40.17089679
6,6,300,31,56.82780847
5,6,300,30,58.47972973
3,6,200,37,42.0912031
9,8,200,32,39.33394383
10,8,200,47,36.61416581
4,6,200,44,40.36070837
3,6,200,38,41.95041228
10,8,200,48,36.67720138
9,8,200,33,39.10547801
5,6,300,31,58.21938673
6,6,300,32,57.06762372
4,6,200,45,40.49017323
3,6,200,39,41.90478052
10,8,200,49,36.65061282
9,8,200,34,39.06715272
4,6,200,46,40.30065359
5,6,300,32,58.61095823
6,6,300,33,57.17129587
3,6,200,40,41.97610735
10,8,200,50,36.66815944
4,6,200,47,40.42134395
9,8,200,35,38.88271452
3,6,200,41,41.96445296
6,6,300,34,57.38454293
5,6,300,33,58.78790053
4,6,200,48,40.52744164
9,8,200,36,38.834945
3,6,200,42,42.06061551
4,6,200,49,40.47796452
6,6,300,35,57.73142306
5,6,300,34,59.18209387
9,8,200,37,38.89910472
3,6,200,43,42.00563166
4,6,200,50,40.4598607
6,6,300,36,57.57130049
9,8,200,38,38.83899277
3,6,200,44,42.03269822
5,6,300,35,59.63363719
9,8,200,39,38.62800179
3,6,200,45,41.87037037
6,6,300,37,57.89682805
5,6,300,36,59.77274346
9,8,200,40,38.73417031
3,6,200,46,41.89041291
6,6,300,38,57.89331431
5,6,300,37,59.85199513
9,8,200,41,38.77069113
3,6,200,47,41.95841465
6,6,300,39,57.95212681
5,6,300,38,60.08232795
9,8,200,42,38.84379562
3,6,200,48,41.97669337
1,6,100,7,18.27555911
9,8,200,43,38.73083979
3,6,200,49,42.00379363
6,6,300,40,57.73642023
5,6,300,39,60.17851507
9,8,200,44,38.75401576
3,6,200,50,41.94777817
6,6,300,41,57.7046285
5,6,300,40,60.10134587
9,8,200,45,38.61181579
6,6,300,42,57.75633194
5,6,300,41,60.31033251
9,8,200,46,38.65250836
6,6,300,43,57.89448336
5,6,300,42,60.33020186
9,8,200,47,38.51243107
6,6,300,44,57.93628047
9,8,200,48,38.49651823
5,6,300,43,60.58605341
6,6,300,45,58.11142256
9,8,200,49,38.46480201
5,6,300,44,60.77676707
9,8,200,50,38.44132137
6,6,300,46,58.16265971
5,6,300,45,60.90357925
6,6,300,47,58.29254817
5,6,300,46,60.93518717
6,6,300,48,58.469711
1,6,100,8,18.57201188
5,6,300,47,61.11265627
6,6,300,49,58.46645689
5,6,300,48,61.20832185
6,6,300,50,58.56632263
5,6,300,49,61.3084286
5,6,300,50,61.5226563
1,6,100,9,18.78551629
1,6,100,10,19.51111111
1,6,100,11,19.66146789
1,6,100,12,20.20855148
1,6,100,13,20.46304468
1,6,100,14,20.24310972
1,6,100,15,20.36752348
1,6,100,16,20.75023563
1,6,100,17,20.72396066
1,6,100,18,20.61994896
1,6,100,19,20.99795417
1,6,100,20,21.17571822
1,6,100,21,21.22699849
1,6,100,22,21.30753896
1,6,100,23,21.2358885
1,6,100,24,21.03092611
1,6,100,25,21.07672469
1,6,100,26,20.81723924
1,6,100,27,20.76142814
1,6,100,28,20.83824805
1,6,100,29,20.77964206
1,6,100,30,20.41325431
1,6,100,31,20.34124088
1,6,100,32,20.16305444
1,6,100,33,20.14986543
1,6,100,34,20.13779153
1,6,100,35,19.9817552
1,6,100,36,19.92177329
1,6,100,37,19.90607252
1,6,100,38,19.83984707
1,6,100,39,19.84251969
1,6,100,40,19.61812135
1,6,100,41,19.63953946
1,6,100,42,19.48006899
1,6,100,43,19.51217001
1,6,100,44,19.51317716
1,6,100,45,19.51449016
1,6,100,46,19.50157233
1,6,100,47,19.51504531
1,6,100,48,19.4474477
1,6,100,49,19.40205086
1,6,100,50,19.3642432
