"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/27/2024 11:17:25:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","Gini-index-reserve","survival-ratio"
"5","4","130","160","27.431374317802565","0.9923076923076923"
"3","4","100","200","15.96104735121989","0.98"
"1","4","100","20","10.97094162204519","1"
"6","4","130","160","25.397265892002704","0.9769230769230769"
"2","4","100","240","19.03578216134739","0.95"
"4","4","100","180","22.28728016359917","0.99"
"8","4","130","200","20.051687514750995","0.9846153846153847"
"5","4","130","180","29.04989209089758","0.9923076923076923"
"7","4","130","180","29.761719225617913","1"
"3","4","100","220","15.205745522214471","0.98"
"2","4","100","260","19.77113963728637","0.94"
"4","4","100","200","16.500676997141564","0.99"
"8","4","130","220","19.965101289134445","0.9846153846153847"
"5","4","130","200","23.335025380710675","0.9923076923076923"
"7","4","130","200","21.76293739304889","1"
"3","4","100","240","19.574629408757882","0.98"
"6","4","130","180","30.042180241560843","0.9769230769230769"
"2","4","100","280","17.707691249312056","0.94"
"4","4","100","220","16.128464354192083","0.99"
"8","4","130","240","28.691516169676607","0.9846153846153847"
"5","4","130","220","22.45429585667535","0.9846153846153847"
"3","4","100","260","20.865082495234333","0.98"
"7","4","130","220","22.42313474910729","1"
"6","4","130","200","21.21344717182497","0.9769230769230769"
"2","4","100","300","18.102486860658875","0.93"
"4","4","100","240","20.84677569802873","0.99"
"8","4","130","260","28.645775974496452","0.9846153846153847"
"3","4","100","280","18.362038006883125","0.98"
"5","4","130","240","26.01496546431312","0.9846153846153847"
"7","4","130","240","26.331010715902803","1"
"6","4","130","220","20.523736806647197","0.9769230769230769"
"4","4","100","260","21.946670824886944","0.99"
"8","4","130","280","22.793492367591615","0.9846153846153847"
"3","4","100","300","17.304313205043133","0.98"
"7","4","130","260","27.664751184834124","1"
"6","4","130","240","25.781566092662928","0.9769230769230769"
"4","4","100","280","17.359318996415762","0.99"
"2","4","100","320","17.63687767204524","0.92"
"5","4","130","260","26.850616388687456","0.9846153846153847"
"8","4","130","300","21.974372164803793","0.9769230769230769"
"3","4","100","320","16.02237778287811","0.97"
"7","4","130","280","23.003408336852267","0.9846153846153847"
"2","4","100","340","19.136915648547813","0.92"
"5","4","130","280","23.28423931242326","0.9846153846153847"
"6","4","130","260","27.756898958445163","0.9769230769230769"
"8","4","130","320","26.765922335103877","0.9769230769230769"
"4","4","100","300","17.089814757063564","0.99"
"2","4","100","360","17.585605438111603","0.92"
"7","4","130","300","22.162913681337425","0.9846153846153847"
"3","4","100","340","20.10216196408941","0.97"
"5","4","130","300","21.83245521601685","0.9846153846153847"
"4","4","100","320","19.008377479364285","0.99"
"8","4","130","340","27.21452641713801","0.9769230769230769"
"2","4","100","380","17.7157923952262","0.92"
"6","4","130","280","23.82426753822806","0.9769230769230769"
"5","4","130","320","23.562198310539024","0.9846153846153847"
"8","4","130","360","22.666705451160617","0.9769230769230769"
"7","4","130","320","26.210062044780155","0.9846153846153847"
